# Exported: 2026-04-06 | Filters: None (all vulnerabilities)
CVE,Severity,KEV,Status,Server,Package,Version,Fixed Version,First Detected,Last Seen,Fixed Date,Scanner
GHSA-wgx2-6432-j3fw,CRITICAL,No,Open,WindowsRunner,bigint,0.8,,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2019-0036,CRITICAL,No,Open,WindowsRunner,failure,0.1.8,,6 abr 2026,6 abr 2026,,jadi
GHSA-43w2-9j62-hq99,CRITICAL,No,Open,WindowsRunner,smallvec,1.0,1.6.1,6 abr 2026,6 abr 2026,,jadi
GHSA-67hx-6x53-jw92,CRITICAL,No,Open,WindowsRunner,babel-traverse,6.26.0,,6 abr 2026,6 abr 2026,,jadi
GHSA-w7j2-35mf-95p7,CRITICAL,No,Open,WindowsRunner,rand_core,0.6.0,0.6.2,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2020-0025,CRITICAL,No,Open,WindowsRunner,bigint,0.8,,6 abr 2026,6 abr 2026,,jadi
GHSA-rm4w-6696-r77p,CRITICAL,No,Open,WindowsRunner,nb-connect,1.0.2,1.0.3,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2020-0036,CRITICAL,No,Open,WindowsRunner,failure,0.1.8,,6 abr 2026,6 abr 2026,,jadi
GHSA-xvch-5gv4-984h,CRITICAL,No,Open,WindowsRunner,minimist,1.2.5,1.2.6,6 abr 2026,6 abr 2026,,jadi
GHSA-9crc-q9x8-hgqq,CRITICAL,No,Open,WindowsRunner,vitest,4.1.0,,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2021-0023,CRITICAL,No,Open,WindowsRunner,rand_core,0.6.0,0.6.2,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2021-0021,CRITICAL,No,Open,WindowsRunner,nb-connect,1.0.2,1.0.3,6 abr 2026,6 abr 2026,,jadi
GHSA-w7j2-35mf-95p7,CRITICAL,No,Open,WindowsRunner,rand_core,0.6,0.6.2,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2021-0003,CRITICAL,No,Open,WindowsRunner,smallvec,1.0,1.6.1,6 abr 2026,6 abr 2026,,jadi
GHSA-2w6w-674q-4c4q,CRITICAL,No,Open,WindowsRunner,handlebars,4.7.8,4.7.9,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2021-0093,CRITICAL,No,Open,WindowsRunner,crossbeam-deque,0.8.0,0.8.1,6 abr 2026,6 abr 2026,,jadi
GHSA-9crc-q9x8-hgqq,CRITICAL,No,Open,WindowsRunner,vitest,4.1.2,,6 abr 2026,6 abr 2026,,jadi
GHSA-r98r-j25q-rmpr,CRITICAL,No,Open,WindowsRunner,failure,0.1.8,,6 abr 2026,6 abr 2026,,jadi
GHSA-jq66-xh47-j9f3,CRITICAL,No,Open,WindowsRunner,failure,0.1.8,,6 abr 2026,6 abr 2026,,jadi
GHSA-pqqp-xmhj-wgcw,CRITICAL,No,Open,WindowsRunner,crossbeam-deque,0.7.1,0.7.4,6 abr 2026,6 abr 2026,,jadi
GHSA-pqqp-xmhj-wgcw,CRITICAL,No,Open,WindowsRunner,crossbeam-deque,0.8.0,0.8.1,6 abr 2026,6 abr 2026,,jadi
GHSA-pqqp-xmhj-wgcw,CRITICAL,No,Open,WindowsRunner,crossbeam-deque,0.7.3,0.7.4,6 abr 2026,6 abr 2026,,jadi
RUSTSEC-2021-0023,CRITICAL,No,Open,WindowsRunner,rand_core,0.6,0.6.2,6 abr 2026,6 abr 2026,,jadi
CVE-2021-32810,CRITICAL,No,Open,WindowsRunner,crossbeam-deque,0.7.1,"0.7.4, 0.8.1",6 abr 2026,6 abr 2026,,trivy
CVE-2024-0057,CRITICAL,No,Open,V13,NuGet.Packaging,6.8.1-rc.32767,"5.11.6, 6.0.6, 6.3.4, 6.4.3, 6.6.2, 6.7.1, 6.8.1",6 abr 2026,6 abr 2026,,trivy
CVE-2026-33186,CRITICAL,No,Open,V13,google.golang.org/grpc,v1.75.0,1.79.3,6 abr 2026,6 abr 2026,,trivy
CVE-2024-5262,CRITICAL,No,Open,rengine,github.com/projectdiscovery/interactsh,v1.1.9,1.2.0,6 abr 2026,6 abr 2026,,trivy
CVE-2025-21613,CRITICAL,No,Open,rengine,github.com/go-git/go-git/v5,v5.11.0,5.13.0,6 abr 2026,6 abr 2026,,trivy
CVE-2024-45337,CRITICAL,No,Open,rengine,golang.org/x/crypto,v0.0.0-20200622213623-75b288015ac9,0.31.0,6 abr 2026,6 abr 2026,,trivy
CVE-2024-45337,CRITICAL,No,Open,rengine,golang.org/x/crypto,v0.19.0,0.31.0,6 abr 2026,6 abr 2026,,trivy
